Я проанализировал ваши оригинальные Excel-файлы. В большинстве наборов стандарт 25г/10г соблюдается идеально. Но в некоторых **букетах** обнаружены расхождения с этим стандартом:

**Букет XS (9 ягод) молочный с белым** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет XXS)
   - Клубника: в Excel 252г, по стандарту должно быть 225г (9 шт * 25г). Разница: 27г
**Букет XS (15ягод) молочный** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет XS 1)
   - Клубника: в Excel 330г, по стандарту должно быть 375г (15 шт * 25г). Разница: 45г
**Букет XS (15ягод) молочный с белым** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет ХS 3)
   - Клубника: в Excel 320г, по стандарту должно быть 375г (15 шт * 25г). Разница: 55г
   - Шоколад: в Excel 215г, по стандарту должно быть 150г (15 шт * 10г). Разница: 65г
**Букет XS (15ягод) молочный с белым** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет ХS 4)
   - Клубника: в Excel 320г, по стандарту должно быть 375г (15 шт * 25г). Разница: 55г
   - Шоколад: в Excel 212г, по стандарту должно быть 150г (15 шт * 10г). Разница: 62г
**Букет XS (15ягод) молочный с белым** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет ХS 5)
   - Клубника: в Excel 320г, по стандарту должно быть 375г (15 шт * 25г). Разница: 55г
   - Шоколад: в Excel 199г, по стандарту должно быть 150г (15 шт * 10г). Разница: 49г
**Букет S+ (17-19 ягоды)** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет S)
   - Клубника: в Excel 399г, по стандарту должно быть 475г (19 шт * 25г). Разница: 76г
**Букет S+ (22-25 ягоды)** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет S+ (2))
   - Клубника: в Excel 525г, по стандарту должно быть 625г (25 шт * 25г). Разница: 100г
**Букет М (33-36 ягод)** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет М)
   - Клубника: в Excel 738г, по стандарту должно быть 900г (36 шт * 25г). Разница: 162г
**Букет М (33-36 ягод)** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет М (2))
   - Клубника: в Excel 740г, по стандарту должно быть 900г (36 шт * 25г). Разница: 160г
   - Шоколад: в Excel 468г, по стандарту должно быть 360г (36 шт * 10г). Разница: 108г
**Букет М (33-36 ягод)** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет М (3))
   - Клубника: в Excel 775г, по стандарту должно быть 900г (36 шт * 25г). Разница: 125г
   - Шоколад: в Excel 611г, по стандарту должно быть 360г (36 шт * 10г). Разница: 251г
**Букет М+ (43-45 ягод)** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет М+)
   - Клубника: в Excel 950г, по стандарту должно быть 1125г (45 шт * 25г). Разница: 176г
**Букет М+ (43-45 ягод)** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет М+ (2))
   - Клубника: в Excel 950г, по стандарту должно быть 1125г (45 шт * 25г). Разница: 175г
   - Шоколад: в Excel 585г, по стандарту должно быть 450г (45 шт * 10г). Разница: 135г
**Букет L+ (68 - 70 ягод)** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет L+)
   - Клубника: в Excel 1400г, по стандарту должно быть 1750г (70 шт * 25г). Разница: 350г
**Букет L+ (65-68 ягод)** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет L+ (2))
   - Клубника: в Excel 1400г, по стандарту должно быть 1700г (68 шт * 25г). Разница: 300г
   - Шоколад: в Excel 901г, по стандарту должно быть 680г (68 шт * 10г). Разница: 221г
**Букет XL (87-90 ягод)** (Файл: Букеты калькуляция тех. карты.xlsx, Лист: Букет XL)
   - Клубника: в Excel 1755г, по стандарту должно быть 2250г (90 шт * 25г). Разница: 495г
